utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T06:56:48.297443+00:00,2437930,11778695168,16543862784,41831424000,1575000000,1575000000,1575000000
2026-09-13T06:56:58.298844+00:00,2437930,11829551104,16543862784,116091723776,1575000000,1575000000,1575000000
2026-09-13T06:57:08.299495+00:00,2437930,11873591296,16543862784,112127873024,1575000000,1575000000,1575000000
2026-09-13T06:57:18.301505+00:00,2437930,11919728640,16543862784,41987264512,1575000000,1575000000,1575000000
2026-09-13T06:57:28.302176+00:00,2437930,11967963136,16543862784,41923821568,1575000000,1575000000,1575000000
2026-09-13T06:57:38.302817+00:00,2437930,12018032640,16543862784,116273381376,1575000000,1575000000,1575000000
2026-09-13T06:57:48.303471+00:00,2437930,12070395904,16543862784,111747829760,1575000000,1575000000,1575000000
2026-09-13T06:57:58.304700+00:00,2437930,12119220224,16543862784,111108415488,1575000000,1575000000,1575000000
2026-09-13T06:58:08.305356+00:00,2437930,12168503296,16543862784,43217985536,1575000000,1575000000,1575000000
2026-09-13T06:58:18.306009+00:00,2437930,12215164928,16543862784,116854878208,1575000000,1575000000,1575000000
2026-09-13T06:58:28.307501+00:00,2437930,12265758720,16543862784,113341775872,1575000000,1575000000,1575000000
2026-09-13T06:58:38.308292+00:00,2437930,12318711808,16543862784,113244839936,1575000000,1575000000,1575000000
2026-09-13T06:58:48.309707+00:00,2437930,12362227712,16543862784,110650585088,1575000000,1575000000,1575000000
2026-09-13T06:58:58.310372+00:00,2437930,12411510784,16543862784,110434250752,1575000000,1575000000,1575000000
2026-09-13T06:59:08.311081+00:00,2437930,12461318144,16543862784,110213525504,1575000000,1575000000,1575000000
2026-09-13T06:59:18.311733+00:00,2437930,12508241920,16543862784,116126961664,1575000000,1575000000,1575000000
2026-09-13T06:59:28.312408+00:00,2437930,12558835712,16543862784,111891566592,1575000000,1575000000,1575000000
2026-09-13T06:59:38.313101+00:00,2437930,12608643072,16543862784,111766016000,1575000000,1575000000,1575000000
2026-09-13T06:59:48.313747+00:00,2437930,12659761152,16543862784,116707926016,1575000000,1575000000,1575000000
2026-09-13T06:59:58.314403+00:00,2437930,12710092800,16543862784,116718919680,1575000000,1575000000,1575000000
2026-09-13T07:00:08.315057+00:00,2437930,12760948736,16543862784,116708634624,1575000000,1575000000,1575000000
2026-09-13T07:00:18.315715+00:00,2437930,12804988928,16543862784,116721770496,1575000000,1575000000,1575000000
2026-09-13T07:00:28.316382+00:00,2437930,12858204160,16543862784,116703297536,1575000000,1575000000,1575000000
2026-09-13T07:00:38.317043+00:00,2437930,12908797952,16543862784,116673748992,1575000000,1575000000,1575000000
2026-09-13T07:00:48.317697+00:00,2437930,12959391744,16543862784,116648841216,1575000000,1575000000,1575000000
2026-09-13T07:00:58.318375+00:00,2437930,13010247680,16543862784,116608782336,1575000000,1575000000,1575000000
2026-09-13T07:01:08.321391+00:00,2437930,13060579328,16543862784,116573147136,1575000000,1575000000,1575000000
2026-09-13T07:01:18.322045+00:00,2437930,13111173120,16543862784,116560953344,1575000000,1575000000,1575000000
2026-09-13T07:01:28.322712+00:00,2437930,13164126208,16543862784,116537516032,1575000000,1575000000,1575000000
2026-09-13T07:01:38.323374+00:00,2437930,13214720000,16543862784,116508602368,1575000000,1575000000,1575000000
2026-09-13T07:01:48.324708+00:00,2437930,13265575936,16543862784,116488065024,1575000000,1575000000,1575000000
2026-09-13T07:01:58.325369+00:00,2437930,13316431872,16543862784,116444127232,1575000000,1575000000,1575000000
2026-09-13T07:02:08.326017+00:00,2437930,13367025664,16543862784,116417617920,1575000000,1575000000,1575000000
2026-09-13T07:02:18.326673+00:00,2437930,13419978752,16543862784,116419870720,1575000000,1575000000,1575000000
2026-09-13T07:02:28.327342+00:00,2437930,13470834688,16543862784,116365832192,1575000000,1575000000,1575000000
2026-09-13T07:02:38.327997+00:00,2437930,13521166336,16543862784,116357996544,1575000000,1575000000,1575000000
2026-09-13T07:02:48.328673+00:00,2437930,13570973696,16543862784,116351401984,1575000000,1575000000,1575000000
2026-09-13T07:02:58.329330+00:00,2437930,13619208192,16543862784,116308508672,1575000000,1575000000,1575000000
2026-09-13T07:03:08.329982+00:00,2437930,13669539840,16543862784,116287127552,1575000000,1575000000,1575000000
