id,stage,family,semantic_label,kernel,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct
621,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12064.0,4002944.0,679477248.0,589824.0,22083808.0,2761633792.0,10371072.0,38.6,49.21,49.21,30.47,8.33,9.33,24.6
622,vlm,Norm / residual,Vision: residual / LayerNorm variant 7,triton_red_fused_add_native_layer_norm_view_7,vlm.vision.camera2,5152.0,1974016.0,0.0,14757888.0,2989472.0,1190287360.0,4390912.0,44.96,0.0,23.63,11.5,40.8,33.55,0.0
623,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera2,30432.000000000004,13043328.0,2566914048.0,16930459.0,82827264.0,6924070912.0,26247168.0,49.69,74.14,74.14,45.44,39.43,13.37,37.07
624,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,33824.0,15091456.0,2566914048.0,1179648.0,80224448.0,7790733312.0,29147136.0,51.78,65.9,65.9,39.28,8.33,8.59,32.95
625,vlm,Norm / residual,Vision: residual / LayerNorm variant 8,triton_red_fused_add_native_layer_norm_view_8,vlm.vision.camera2,6400.000000000001,2648448.0,0.0,13467648.0,3634848.0,1494022144.0,5505024.0,48.11,0.0,16.25,12.22,22.96,22.73,0.0
626,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,3998848.0,679477248.0,589824.0,22084320.0,2751881216.0,10346496.0,38.65,49.38,49.38,30.57,8.33,9.2,24.69
627,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,4000128.0,679477248.0,589824.0,22082880.0,2746544128.0,10330112.0,38.72,49.48,49.48,30.64,8.33,9.32,24.74
628,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11936.0,4002944.0,679477248.0,589824.0,22067104.0,2722680832.0,10240000.0,39.09,49.91,49.91,30.87,8.33,9.29,24.96
629,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,14432.0,2094208.0,402653184.0,4259840.0,12283040.0,3359252480.0,12402688.0,16.89,23.97,23.97,18.05,8.3,11.62,11.99
630,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,6784.000000000001,2717184.0,0.0,2260992.0,3437920.0,1584578560.0,5824512.0,46.65,0.0,11.21,11.69,21.2,14.37,0.0
631,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12000.0,4002816.0,679477248.0,589824.0,22083456.0,2744975360.0,10321920.0,38.78,49.51,49.51,30.66,8.33,9.3,24.75
632,vlm,Norm / residual,Vision: residual / LayerNorm variant 9,triton_red_fused_add_native_layer_norm_view_9,vlm.vision.camera2,7424.0,3277056.0,0.0,14704648.0,4755488.0,1723639808.0,6356992.0,51.55,0.0,17.37,13.18,45.36,24.54,0.0
633,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera2,30464.0,13038976.0,2566914048.0,17042158.0,82828416.0,6926348288.0,26263552.0,49.65,74.12,74.12,45.43,40.01,13.33,37.06
634,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,34048.0,15093888.0,2566914048.0,1179648.0,80221472.0,7850563584.0,29360128.0,51.41,65.39,65.39,38.96,8.33,8.58,32.7
635,vlm,Norm / residual,Vision: residual / LayerNorm variant 6,triton_red_fused_add_native_layer_norm_view_6,vlm.vision.camera2,4384.0,1322880.0,0.0,11333632.0,2420672.0,1017565184.0,3760128.0,35.18,0.0,18.15,9.12,22.14,27.4,0.0
