id,process_id,device,context,stream,kernel,grid,block,operator,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status
28,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer02._adarms_norm_kernel.line1945/_adarms_norm_kernel,bf16_tensor,8992.000000000002,l2,443680.0,,0.0,,,zero_counted_flops
28,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer02._adarms_norm_kernel.line1945/_adarms_norm_kernel,fp32_simt,8992.000000000002,l2,443680.0,,358400.0,0.8077893977641544,0.0398576512455516,ok
29,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer02._matmul_small_gate.line1954/_matmul_small_gate,bf16_tensor,84576.00000000001,l2,23322528.0,,1073741824.0,46.03882666578855,12.695585319712446,ok
29,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer02._matmul_small_gate.line1954/_matmul_small_gate,fp32_simt,84576.00000000001,l2,23322528.0,,2883584.0,0.1236394270809751,0.03409458948164964,ok
30,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,bf16_tensor,74816.00000000001,l2,39357408.0,,536870912.0,13.640911312045752,7.17588366124893,ok
30,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,fp32_simt,74816.00000000001,l2,39357408.0,,131072.0,0.00333030061329242,0.001751924721984602,ok
31,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer03._adarms_norm_kernel.line1854/_adarms_norm_kernel,bf16_tensor,14368.0,l2,459776.0,,0.0,,,zero_counted_flops
31,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer03._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,14368.0,l2,459776.0,,358400.0,0.779510022271715,0.024944320712694878,ok
32,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer03._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,34720.0,l2,13841216.0,,335544320.0,24.2424018236548,9.664294930875576,ok
32,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer03._matmul_rope_qkv.line1863/_matmul_rope_qkv,fp32_simt,34720.0,l2,13841216.0,,442368.0,0.031960197716732405,0.012741013824884793,ok
