group_id,operator,domain,memory_level,invocations,flops,duration_ns,memory_bytes,mean_duration_ns,ai_flops_per_byte,performance_tflops,status
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,5840576.0,1536246848.0,343563.29411764705,,,zero_counted_flops
26,"Vision: image-to-text projection + bias | nvjet_sm110_tst_512x64_64x2_1x4_h_bz_bias_TNT | grid=(16, 1, 1) block=(256, 1, 1)",fp32_simt,l2,3,4718592.0,127936.0,24503840.0,42645.333333333336,0.19256541015612247,0.0368824412206103,ok
27,"Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,3,0.0,38208.00000000001,2901152.0,12736.000000000002,,,zero_counted_flops
27,"Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",fp32_simt,l2,3,0.0,38208.00000000001,2901152.0,12736.000000000002,,,zero_counted_flops
28,"Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)",bf16_tensor,l2,3,11098128384.0,303040.0,61496896.0,101013.33333333333,180.46648051960216,36.62265174234424,ok
28,"Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)",fp32_simt,l2,3,2654208.0,303040.0,61496896.0,101013.33333333333,0.043160032012022204,0.008758606124604013,ok
29,"Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,3,0.0,60032.0,3952448.0,20010.666666666668,,,zero_counted_flops
29,"Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)",fp32_simt,l2,3,11473920.0,60032.0,3952448.0,20010.666666666668,2.9029907540845574,0.19113006396588486,ok
30,"Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,3,0.0,41472.0,233152.0,13824.0,,,zero_counted_flops
30,"Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)",fp32_simt,l2,3,420864.0,41472.0,233152.0,13824.0,1.8051056821301126,0.01014814814814815,ok
31,"Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)",bf16_tensor,l2,3,0.0,72608.0,5633088.0,24202.666666666668,,,zero_counted_flops
31,"Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)",fp32_simt,l2,3,5529600.0,72608.0,5633088.0,24202.666666666668,0.981628549030301,0.076156897311591,ok
