id,kernel,grid,block,stage,family,module,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,dram_util_pct,tensor_active_pct
763,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(7344, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,12416.000000000002,8570496.0,0.0,1880064.0,80.17,0.0
764,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,11936.0,8386816.0,0.0,0.0,81.71,0.0
765,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn,"(256, 15, 1)","(128, 1, 1)",vlm,FFN up,paligemma_with_expert.paligemma.model.language_model.layers.13.mlp,vlm|FFN up|paligemma_with_expert.paligemma.model.language_model.layers.13.mlp,1153024.0,393838976.0,128849018880.0,94371840.0,39.57,94.45
766,"void sglang::act_and_mul_kernel<__nv_bfloat16, 2, 0, 0, 0, 0>(sglang::ActivationParams)","(7344, 1, 1)","(256, 1, 1)",vlm,FFN up,paligemma_with_expert.paligemma.model.language_model.layers.13.mlp,vlm|FFN up|paligemma_with_expert.paligemma.model.language_model.layers.13.mlp,81728.0,67086848.0,0.0,135364608.0,95.17,0.0
767,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn,"(16, 15, 3)","(128, 1, 1)",vlm,FFN down,paligemma_with_expert.paligemma.model.language_model.layers.13.mlp.down_proj,vlm|FFN down|paligemma_with_expert.paligemma.model.language_model.layers.13.mlp.down_proj,574464.0,121531136.0,64424509440.0,25559040.0,24.51,94.97
768,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,11936.0,8419712.0,0.0,3760128.0,81.96,0.0
769,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,10048.000000000002,4415232.0,0.0,0.0,51.04,0.0
770,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,12032.000000000002,8457088.0,0.0,1880064.0,81.67,0.0
771,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","(58, 1, 1)","(32, 16, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,14208.0,8681344.0,0.0,2117590.0,71.03,0.0
772,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,1984.0,9472.0,0.0,2048.0,0.56,0.0
773,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.14.input_layernorm,2112.0000000000005,11264.0,0.0,0.0,0.62,0.0
